"";"ID_echantillon";"T_ambiante";"Vent";"Humidite";"T_grill";"DI";"DI_test";"MT";"temps_total";"BB";"BB_test";"remarque";"longeur";"largeur";"hauteur";"masse";"score_DI";"BT";"BT_test";"SD"
"213";"36_3";26,6;1,5;65,3;151,2;9;1;592,1;151;20;20;"";70;70;18;325;9;30;30;7,04
"214";"36_4";26,6;1,5;65,3;162,3;9;1;595;144;10;10;"";70;65;19;325;9;23;23;7,18
"215";"36_5";26,6;1,5;65,3;178,3;8;2;225,7;134;10;10;"";70;67;26;275;8;12;12;4,31
"216";"36_6";26,6;1,5;65,3;182,8;8;2;538,1;149;20;20;"";70;63;14;225;8;27;27;6,96
"217";"37_1";26,6;1,5;65,3;154,7;9,5;0,5;820,1;185;80;80;"";70;89;11;200;9,5;64;64;5,57
"218";"37_2";26,6;1,5;65,3;180,4;9;1;743,7;163;95;95;"";70;89;13;150;9;42;42;3,54
"219";"37_3";26,6;1,5;65,3;154;9,5;0,5;786,5;268;95;95;"";70;78;10;400;9,5;148;148;13,99
"220";"37_4";26,6;1,5;65,3;176,5;9,5;0,5;758;152;95;95;"";70;107;7;225;9,5;32;32;8,2
"221";"37_5";26,6;1,5;65,3;154,9;9,5;0,5;823,1;177;95;95;"";70;80;7;175;9,5;56;56;8,53
"222";"37_6";26,6;1,5;65,3;179,3;9,5;0,5;763,5;186;90;90;"";70;79;8;200;9,5;66;66;8,63
"223";"38_1";26,6;1,5;65,3;172,2;9;1;699,9;181;45;45;"";70;98;17;275;9;60;60;4,5
"224";"38_2";26,6;1,5;65,3;183,3;7,5;2,5;667,9;132;25;25;"";70;110;14;150;7,5;10;10;2,66
"225";"38_3";26,6;1,5;65,3;171,8;7;3;617,6;196;30;30;"";70;116;34;525;7;73;73;3,63
"226";"38_4";26,6;1,5;65,3;176,5;7;3;701,2;245;50;50;"";70;110;23;600;7;122;122;6,47
"227";"38_5";26,6;1,5;65,3;176,5;7;3;818;251;60;60;"";70;92;26;400;7;128;128;4,56
"228";"38_6";26,6;1,5;65,3;169,1;7;3;881,3;253;95;95;"";70;96;42;575;7;130;130;3,89
"229";"39_1";26,6;1,5;65,3;167,3;7;3;801,4;163;25;25;"";70;98;13;250;7;40;40;5,35
"230";"39_2";26,6;1,5;65,3;164,8;9;1;753;143;30;30;"";70;50;23;200;9;22;22;4,74
"231";"39_3";26,6;1,5;65,3;171,3;9;1;713,9;159;40;40;"";70;56;20;200;9;38;38;4,87
"232";"39_4";26,6;1,5;65,3;182,6;9;1;756,3;143;50;50;"";70;49;21;100;9;22;22;2,65
"233";"39_5";26,6;1,5;65,3;187,2;8;2;695,6;165;45;45;"";70;48;23;175;8;43;43;4,32
"235";"40_1";27,4;1,4;75;195,3;9,5;0,5;636,1;133;30;30;"";70;72;13;75;9,5;12;12;2,19
"236";"40_2";27,4;1,4;75;174,9;9;1;670,5;140;20;20;"";70;69;18;100;9;19;19;2,2
"237";"40_3";27,4;1,4;75;168,2;9,5;0,5;761,6;143;25;25;"";70;59;20;75;9,5;22;22;1,73
"238";"40_4";27,4;1,4;75;177;9,5;0,5;744;134;20;20;"";70;74;10;75;9,5;14;14;2,77
"239";"40_5";27,4;1,4;75;185,1;9;1;755,4;142;20;20;"";70;62;15;75;9;21;21;2,2
"240";"40_6";27,4;1,4;75;174,4;9,5;0,5;692,3;154;85;85;"";70;62;15;75;9,5;34;34;2,2
"241";"41_1";27,4;1,4;75;181;9,5;0,5;503;135;35;35;"";70;56;12;50;9,5;14;14;2,03
"242";"41_2";27,4;1,4;75;192,7;9,5;0,5;695,1;142;50;50;"";70;52;33;75;9,5;22;22;1,19
"243";"41_3";27,4;1,4;75;173,3;9,5;0,5;313;134;20;20;"";70;46;14;25;9,5;14;14;1,06
"244";"41_4";27,4;1,4;75;174,3;9,5;0,5;487,2;137;70;70;"";70;41;22;50;9,5;16;16;1,51
"245";"41_5";27,4;1,4;75;194,8;9;1;663,9;137;30;30;"";70;67;33;125;9;16;16;1,54
"246";"41_6";27,4;1,4;75;178,8;9;1;451,6;134;35;35;"";70;57;22;100;9;13;13;2,18
"247";"42_1";27,4;1,4;75;163,6;9,5;0,5;691,3;138;35;35;"";70;60;14;75;9,5;18;18;2,44
"248";"42_2";27,4;1,4;75;190,6;7;3;678;131;15;15;"";70;54;29;150;7;8;8;2,61
"249";"42_3";27,4;1,4;75;186,5;9;1;723,5;141;25;25;"";70;62;27;100;9;20;20;1,63
