"";"ID_echantillon";"ID_Feuille";"Esp";"Masse_F_T0";"Masse_F_T24";"Masse_F_Tsec";"Longueur_F";"Largeur_F";"Surface_F";"LMC_t0";"LMC_t24";"LDMC";"SLA";"LT"
"185";"07_1";"07_1_5";"Araucaria_columnaris";1,168;1,124;NA;NA;NA;20,12425714;NA;NA;NA;NA;NA
"186";"07_2";"07_2_1";"Araucaria_columnaris";2,933;2,774;NA;NA;NA;41,02378081;NA;NA;NA;NA;NA
"187";"07_2";"07_2_2";"Araucaria_columnaris";2,5;2,371;NA;NA;NA;37,31952891;NA;NA;NA;NA;NA
"188";"07_2";"07_2_3";"Araucaria_columnaris";2,252;2,137;NA;NA;NA;34,57699706;NA;NA;NA;NA;NA
"189";"07_2";"07_2_4";"Araucaria_columnaris";2,496;2,354;NA;NA;NA;35,94767394;NA;NA;NA;NA;NA
"190";"07_2";"07_2_5";"Araucaria_columnaris";2,292;2,139;NA;NA;NA;36,93444819;NA;NA;NA;NA;NA
"191";"07_3";"07_3_1";"Araucaria_columnaris";2,058;1,994;NA;NA;NA;30,64584364;NA;NA;NA;NA;NA
"192";"07_3";"07_3_2";"Araucaria_columnaris";2,439;2,344;NA;NA;NA;36,89800572;NA;NA;NA;NA;NA
"193";"07_3";"07_3_3";"Araucaria_columnaris";1,903;1,842;NA;NA;NA;33,29224275;NA;NA;NA;NA;NA
"194";"07_3";"07_3_4";"Araucaria_columnaris";2,507;2,43;NA;NA;NA;38,20192375;NA;NA;NA;NA;NA
"195";"07_3";"07_3_5";"Araucaria_columnaris";2,19;2,094;NA;NA;NA;36,65963737;NA;NA;NA;NA;NA
"196";"07_4";"07_4_1";"Araucaria_columnaris";1,927;1,803;NA;NA;NA;41,11959938;NA;NA;NA;NA;NA
"197";"07_4";"07_4_2";"Araucaria_columnaris";2,591;2,427;NA;NA;NA;49,30666838;NA;NA;NA;NA;NA
"198";"07_4";"07_4_3";"Araucaria_columnaris";1,893;1,772;NA;NA;NA;41,34893565;NA;NA;NA;NA;NA
"199";"07_4";"07_4_4";"Araucaria_columnaris";1,684;1,559;NA;NA;NA;36,80705661;NA;NA;NA;NA;NA
"200";"07_4";"07_4_5";"Araucaria_columnaris";1,99;1,876;NA;NA;NA;37,92884081;NA;NA;NA;NA;NA
